DayOfYear;flux_m3/s;c_mg/m3;dis_mg/s
54;-14.039612;0.785164118;-11.023399428890992
55;-10.396241;0.785164118;-8.162755542930013
56;-8.432297;0.785164118;-6.620736842728301
57;-6.4358935;0.785164118;-5.053232671432278
58;-4.907886;0.785164118;-3.8534960046466797
59;-4.9037466;0.785164118;-3.8502458779470614
60;-4.8277645;0.785164118;-3.790587464276127
61;-5.020687;0.785164118;-3.94206336119413
62;-5.9241056;0.785164118;-4.651395183087587
63;-6.4754367;0.785164118;-5.084280535381818
64;-7.0557637;0.785164118;-5.5399324991813
65;-5.8634253;0.785164118;-4.603751118661066
66;-4.9520235;0.785164118;-3.888151168532957
67;-4.634956;0.785164118;-3.639201047865117
68;-7.992545;0.785164118;-6.275459645898187
69;-14.65007;0.785164118;-11.502709439706818
70;-18.371996;0.785164118;-14.425031977061474
71;-26.741737;0.785164118;-20.99665263254527
72;-16.151123;0.785164118;-12.681282281809082
73;-11.15687;0.785164118;-8.759973905492275
74;-8.193052;0.785164118;-6.432890676474079
75;-8.703157;0.785164118;-6.833406923357769
76;-9.908456;0.785164118;-7.779763997181646
77;-9.2273;0.785164118;-7.24494462281413
78;-10.097578;0.785164118;-7.92825596254845
79;-9.263409;0.785164118;-7.273296090900215
80;-8.150836;0.785164118;-6.399743951762178
81;-6.842461;0.785164118;-5.372454941723994
82;-6.033364;0.785164118;-4.737180781614283
83;-5.7403407;0.785164118;-4.507109550340322
84;-5.2639456;0.785164118;-4.1330611881507355
85;-5.198439;0.785164118;-4.0816278676100755
86;-5.7568636;0.785164118;-4.5200827262726415
87;-7.4997163;0.785164118;-5.888508119721084
88;-7.720402;0.785164118;-6.061782441570762
89;-6.584289;0.785164118;-5.16974752340035
90;-5.8534756;0.785164118;-4.595938983686496
91;-4.796279;0.785164118;-3.765866134247812
92;-5.0990887;0.785164118;-4.003621457260395
93;-5.400251;0.785164118;-4.240083244073555
94;-5.2209697;0.785164118;-4.099318051524022
95;-4.5648656;0.785164118;-3.5841686640871075
96;-4.582652;0.785164118;-3.598133987900316
97;-4.8941574;0.785164118;-3.842716785915115
98;-6.9599657;0.785164118;-5.464715334760908
99;-8.760344;0.785164118;-6.878307418097065
100;-8.41048;0.785164118;-6.603606754372774
101;-7.6030297;0.785164118;-5.969626130462485
102;-6.83747;0.785164118;-5.3685361447922
103;-7.888804;0.785164118;-6.194005802458991
104;-9.122942;0.785164118;-7.163006686088146
105;-6.7933507;0.785164118;-5.333895207932139
106;-5.9122586;0.785164118;-4.642093328709979
107;-8.591697;0.785164118;-6.745891992354913
108;-7.789573;0.785164118;-6.116093365361424
109;-6.548811;0.785164118;-5.141891380463855
110;-5.9708204;0.785164118;-4.688073954255449
111;-6.2701793;0.785164118;-4.923119777564641
112;-7.4649844;0.785164118;-5.861237905627454
113;-7.9763594;0.785164118;-6.2627511675325795
114;-7.598675;0.785164118;-5.966206777029976
115;-6.84653;0.785164118;-5.375649657900453
116;-5.8230085;0.785164118;-4.572017362289721
117;-5.1926847;0.785164118;-4.077109663600055
118;-8.467476;0.785164118;-6.648358239732223
119;-13.109712;0.785164118;-10.293275182577535
