DayOfYear;flux_m3/s;c_mmol/m3;dis_mmol/s
192;-452.69024658203125;11.377724647521973;-5150.584976229176
193;-395.5216369628906;11.184617042541504;-4423.75804146906
194;-377.1246643066406;11.100303649902344;-4186.198287671199
195;-360.3147888183594;10.99755859375;-3962.5830022245646
196;-323.8708190917969;10.748224258422852;-3481.03619435773
197;-293.0568542480469;10.438329696655273;-3059.024064505764
198;-269.3198547363281;10.076017379760742;-2713.6715370378806
199;-259.1661376953125;9.73924732208252;-2524.083112523542
200;-288.40374755859375;9.670661926269531;-2789.055140908342
201;-295.6647644042969;9.397770881652832;-2778.589713649446
202;-285.5081481933594;9.008384704589844;-2571.967235220829
203;-282.52685546875;8.674386978149414;-2450.7472760556266
204;-281.2996520996094;8.35930347442627;-2351.4691591511655
205;-276.8240966796875;8.047518730163574;-2227.7471029903973
206;-281.27813720703125;7.847997188568115;-2207.470030006458
207;-301.0065002441406;7.803750038146973;-2348.979487762699
208;-353.0910949707031;7.961808681488037;-2811.243745293861
209;-395.87078857421875;8.049960136413574;-3186.744067193067
210;-442.60394287109375;8.145606994628906;-3605.277772901114
211;-579.8963012695312;8.425505638122559;-4885.919555872853
212;-640.5914306640625;8.497072219848633;-5443.151649768697
213;-649.7928466796875;8.493707656860352;-5519.150477216346
214;-588.6535034179688;8.38713264465332;-4937.115014906391
215;-535.1539306640625;8.278620719909668;-4430.33641873661
216;-564.4305419921875;8.333613395690918;-4703.745925683179
217;-572.771484375;8.348814964294434;-4781.963139871135
218;-569.015380859375;8.341925621032715;-4746.683984352509
219;-560.9485473632812;8.32710075378418;-4671.07507158292
220;-540.0528564453125;8.286489486694336;-4475.1423171933275
221;-500.0725402832031;8.199455261230469;-4100.322421421995
222;-456.76617431640625;8.089436531066895;-3694.980976670806
223;-435.847900390625;8.033249855041504;-3501.275082633132
224;-394.00262451171875;7.900089740753174;-3112.6560917348543
225;-327.03436279296875;7.614403247833252;-2490.1715142038593
226;-303.11529541015625;7.504852771759033;-2274.8356649214693
227;-319.70263671875;7.637083530426025;-2441.5957415185403
228;-315.9302978515625;7.64704704284668;-2415.9338499314617
229;-298.6064147949219;7.563224792480469;-2258.4274395706598
230;-296.53375244140625;7.546074867248535;-2237.6658965889947
231;-322.3746337890625;7.671845436096191;-2473.2083629478
232;-334.3675231933594;7.710897922515869;-2578.2738399484515
233;-311.8930969238281;7.622032165527344;-2377.2592169593554
234;-296.18853759765625;7.629321575164795;-2259.717600210308
235;-271.3005676269531;7.630972385406494;-2070.2871397063864
236;-255.80320739746094;7.858010768890381;-2010.1043584459476
237;-260.7523498535156;8.39123821258545;-2188.03508211227
238;-250.05859375;8.64550495147705;-2161.8828104250133
239;-230.03628540039062;8.555240631103516;-1968.0157754855463
