DayOfYear;flux_m3/s;c_mmol/m3;dis_mmol/s
201;-7.690603733062744;1.6997359991073608;-13.071996019956202
202;-10.30117130279541;1.696149468421936;-17.472326229359737
203;-6.978692531585693;1.6919108629226685;-11.807325703187132
204;-5.222377777099609;1.686903476715088;-8.809647228908943
205;-4.209721088409424;1.6809947490692139;-7.076519044662177
206;-3.642660617828369;1.6740367412567139;-6.097947710173571
207;-3.1684060096740723;1.6658660173416138;-5.278139900656981
208;-5.699258804321289;1.6563048362731934;-9.439709920769928
209;-17.3155460357666;1.6451642513275146;-28.486917330259075
210;-30.18427848815918;1.6322481632232666;-49.26823312051738
211;-33.5750617980957;1.617358922958374;-54.302925788028915
212;-20.32744026184082;1.6003061532974243;-32.53012773180967
213;-11.284843444824219;1.580916404724121;-17.84039412666607
214;-7.601864814758301;1.5590457916259766;-11.851655347958513
215;-6.0902509689331055;1.5345937013626099;-9.346060776642275
216;-5.437798976898193;1.5075165033340454;-8.197571699487014
217;-4.756101131439209;1.4778416156768799;-7.028764180408757
218;-4.695730686187744;1.4456783533096313;-6.788516205993403
219;-5.32628059387207;1.411224603652954;-7.516578220031533
220;-4.726747035980225;1.3747684955596924;-6.4981829115457685
221;-4.019227027893066;1.3366820812225342;-5.372428748549964
222;-3.6056385040283203;1.2974083423614502;-4.677985474666002
223;-3.1247706413269043;1.2574421167373657;-3.9292182095488783
224;-2.6716604232788086;1.2173051834106445;-3.2522260815703703
225;-2.632530450820923;1.1769837141036987;-3.098445467498294
226;-2.4974191188812256;1.135959506034851;-2.83696698864631
227;-4.098962306976318;1.0949416160583496;-4.488124412562911
228;-2.923893451690674;1.0544530153274536;-3.0831082666314273
229;-2.6278889179229736;1.014999508857727;-2.667305961024482
230;-2.371541976928711;0.9770439863204956;-2.3171008268648166
231;-2.1342813968658447;0.9409854412078857;-2.0083277218915896
232;-1.9720209836959839;0.9071426391601562;-1.7889043196291823
233;-1.8839462995529175;0.8757457733154297;-1.6498580089867119
234;-2.814823865890503;0.8469347953796387;-2.3839722748876966
235;-4.843937873840332;0.8207640647888184;-3.9757301389176973
236;-3.681013345718384;0.7972118854522705;-2.934547589715123
237;-3.0092272758483887;0.7761934399604797;-2.3357424708636643
238;-2.465841054916382;0.757574737071991;-1.8680588888395988
239;-2.2085752487182617;0.7411869764328003;-1.6369672108218083
240;-2.059983968734741;0.726839542388916;-1.4972778051636624
241;-2.0630979537963867;0.7143313884735107;-1.4737356258922318
242;-2.273364305496216;0.7034600377082825;-1.5992209400690314
243;-1.971146821975708;0.694028913974762;-1.368032888140604
244;-1.833980679512024;0.6858519315719604;-1.2578391915089782
245;-1.6952084302902222;0.6787572503089905;-1.1506350128444112
246;-1.6081993579864502;0.6725886464118958;-1.0816566293485863
247;-1.551623821258545;0.6672067046165466;-1.0352538165864473
248;-1.5819752216339111;0.6624881625175476;-1.04803985772854
249;-1.5694514513015747;0.6583258509635925;-1.0332104622241545
250;-1.5113657712936401;0.6546272039413452;-0.9893811489946103
251;-1.5145070552825928;0.6513130068778992;-0.9864181441138982
252;-1.5270427465438843;0.6483163237571716;-0.9900067396593855
253;-1.8376561403274536;0.6455809473991394;-1.1863557920664434
254;-1.7071267366409302;0.643060028553009;-1.0977849680079217
255;-1.5606272220611572;0.6407147645950317;-0.9999169032035127
256;-1.467811942100525;0.6385135054588318;-0.937217748504942
257;-1.4078363180160522;0.6364305019378662;-0.8959899745213136
258;-1.4033784866333008;0.634445071220398;-0.8903665639012388
259;-1.3973312377929688;0.6325408220291138;-0.8838690498005235
260;-1.3634507656097412;0.6307047605514526;-0.8599348886475866
261;-1.3057142496109009;0.6289269328117371;-0.8211988581363627
262;-1.2585461139678955;0.631180465221405;-0.7943697217168477
263;-1.2398637533187866;0.6384256482124329;-0.7915608204076463
264;-1.220994234085083;0.6472610235214233;-0.7903019776676672
265;-1.2052357196807861;0.6580617427825928;-0.7931195181569706
266;-1.199851393699646;0.6712919473648071;-0.8054505786250132
267;-1.3285704851150513;0.687522292137146;-0.91342182519206
268;-2.63419771194458;0.7074472308158875;-1.86355587673674
269;-3.1233315467834473;0.7318991422653198;-2.2859636801010197
270;-25.33054542541504;0.7618534564971924;-19.298163587311592
271;-16.278589248657227;0.7984154224395752;-12.997076711686987
272;-10.38650131225586;0.8427751064300537;-8.753484748872324
273;-7.492388725280762;0.8961119651794434;-6.714019184499648
274;-6.477403163909912;0.9594318270683289;-6.214626752208261
275;-5.755716323852539;1.0333250761032104;-5.947526008373416
276;-5.076129913330078;1.1176609992980957;-5.673392431499451
277;-4.49191951751709;1.2112752199172974;-5.440950801431313
278;-5.4840803146362305;1.3117605447769165;-7.193800181127585
279;-33.97553253173828;1.413375735282898;-48.02019327367361
280;-26.20359992980957;1.5100237131118774;-39.56805726290918
281;-31.851787567138672;1.5983452796936035;-50.910154307739504
282;-20.539447784423828;1.676160454750061;-34.42741013865498
283;-19.567548751831055;1.7425445318222046;-34.09732507866761
284;-39.8241081237793;1.797640085220337;-71.58941312145453
285;-62.9741096496582;1.8423353433609009;-116.01942792425007
286;-24.017765045166016;1.877929925918579;-45.103679731998454
287;-13.693441390991211;1.9058642387390137;-26.097840252358765
288;-9.603615760803223;1.9275370836257935;-18.51132551584135
289;-7.564059257507324;1.944204330444336;-14.706076764183308
290;-6.0949578285217285;1.956936001777649;-11.927442403950693
291;-5.25717306137085;1.9666119813919067;-10.338819530742683
292;-4.776916027069092;1.9739373922348022;-9.429333165397395
293;-4.164297103881836;1.9794670343399048;-8.243088838331232
294;-7.566511631011963;1.98363196849823;-15.009174361289013
295;-27.961326599121094;1.9843865633010864;-55.48608079536916
296;-43.50971984863281;1.9821003675460815;-86.24063170380214
297;-36.61276626586914;1.9790709018707275;-72.45926035377579
298;-19.748455047607422;1.9750627279281616;-39.00443749869419
299;-54.44968032836914;1.9697725772857666;-107.25348715279779
300;-36.5819206237793;1.9628151655197144;-71.80354858419241
301;-46.40332794189453;1.9537098407745361;-90.65863844476735
302;-54.495277404785156;1.9418704509735107;-105.82276890995672
303;-28.29365348815918;1.926606297492981;-54.51073098937172
304;-16.713666915893555;1.9071412086486816;-31.875322922928717
305;-19.871023178100586;1.88266122341156;-37.410404806922315
306;-45.05669021606445;1.852405071258545;-83.46324145036306
307;-78.47752380371094;1.815800428390503;-142.4995213418042
308;-32.01033020019531;1.7726378440856934;-56.74272271454538
309;-17.38927459716797;1.7232520580291748;-29.966103237204152
310;-11.947495460510254;1.6686488389968872;-19.936174429101015
311;-9.283720970153809;1.6105093955993652;-14.951519848555563
312;-7.570799350738525;1.551202416419983;-11.743842247096438
313;-6.549124717712402;1.495745301246643;-9.795822523796573
314;-5.809160232543945;1.4461076259613037;-8.40067091271294
