DayOfYear;flux_m3/s;S_PSU;dis_PSU*m3/s
274;-517.36304;0.3;-155.2089111328125
275;-578.67206;0.3;-173.60161743164062
276;-603.4402;0.3;-181.03205566406248
277;-607.45886;0.3;-182.23765869140624
278;-599.28754;0.3;-179.78626098632813
279;-778.04956;0.3;-233.41486816406248
280;-853.4637;0.3;-256.0391052246094
281;-941.01373;0.3;-282.3041198730469
282;-935.91815;0.3;-280.7754455566406
283;-889.0704;0.3;-266.7211120605469
284;-904.36957;0.3;-271.3108703613281
285;-1017.99567;0.3;-305.39869995117186
286;-927.36786;0.3;-278.2103576660156
287;-862.737;0.3;-258.8210998535156
288;-779.54205;0.3;-233.86261596679685
289;-663.9077;0.3;-199.17231445312498
290;-599.9111;0.3;-179.97332153320312
291;-563.931;0.3;-169.17930908203124
292;-549.01697;0.3;-164.70509033203123
293;-533.4986;0.3;-160.04957885742186
294;-550.05225;0.3;-165.015673828125
295;-564.3382;0.3;-169.30145874023438
296;-611.05035;0.3;-183.31510620117186
297;-613.70605;0.3;-184.11181640625
298;-602.42224;0.3;-180.72667236328124
299;-678.32025;0.3;-203.4960754394531
300;-797.8225;0.3;-239.34675292968748
301;-892.2995;0.3;-267.6898498535156
302;-894.386;0.3;-268.3157958984375
303;-835.09357;0.3;-250.52807006835937
304;-778.1023;0.3;-233.4306884765625
305;-788.075;0.3;-236.42250366210936
306;-764.6076;0.3;-229.3822814941406
307;-817.4807;0.3;-245.24421386718748
308;-825.32;0.3;-247.59600219726562
309;-810.5654;0.3;-243.16962890624998
310;-758.4816;0.3;-227.54448852539062
311;-705.95087;0.3;-211.7852600097656
312;-679.6175;0.3;-203.88524780273437
313;-669.1279;0.3;-200.73837890625
314;-659.20026;0.3;-197.76007690429688
315;-657.9002;0.3;-197.37006225585938
316;-627.44116;0.3;-188.2323486328125
317;-601.2892;0.3;-180.38675537109376
318;-568.4796;0.3;-170.54388427734375
319;-533.4054;0.3;-160.02161865234373
320;-555.8805;0.3;-166.76414794921874
321;-715.6926;0.3;-214.7077880859375
322;-831.8145;0.3;-249.54435424804686
323;-802.06616;0.3;-240.61984863281248
324;-737.67706;0.3;-221.30311889648436
325;-716.7835;0.3;-215.03505249023436
326;-677.6081;0.3;-203.2824279785156
327;-664.6112;0.3;-199.38336181640625
328;-647.63275;0.3;-194.28982543945312
329;-597.9206;0.3;-179.3761779785156
330;-578.2448;0.3;-173.47344360351562
331;-533.3848;0.3;-160.01544799804688
332;-501.46783;0.3;-150.44035034179686
333;-482.25156;0.3;-144.67546691894532
334;-457.42755;0.3;-137.22826538085937
335;-469.58954;0.3;-140.87686157226562
336;-465.34;0.3;-139.60199890136718
337;-465.33054;0.3;-139.59916076660156
338;-470.0649;0.3;-141.01947326660155
339;-433.98868;0.3;-130.19660339355468
340;-394.1324;0.3;-118.23971557617188
341;-393.0268;0.3;-117.90803833007811
342;-417.82474;0.3;-125.34742126464843
343;-477.6094;0.3;-143.28282165527344
344;-509.27856;0.3;-152.7835693359375
345;-531.25616;0.3;-159.37684936523436
346;-519.4613;0.3;-155.83839111328123
347;-508.0391;0.3;-152.41172790527344
348;-500.14075;0.3;-150.04222412109374
349;-497.88602;0.3;-149.36580505371094
350;-524.91425;0.3;-157.47427368164062
351;-513.04224;0.3;-153.91267089843748
352;-498.23846;0.3;-149.4715393066406
353;-509.84146;0.3;-152.9524383544922
354;-504.95328;0.3;-151.4859832763672
355;-544.5713;0.3;-163.37138671875
356;-534.0412;0.3;-160.2123596191406
357;-538.9756;0.3;-161.69267578125
358;-537.20514;0.3;-161.16154174804686
359;-502.604;0.3;-150.78120117187498
360;-490.77194;0.3;-147.23158264160156
361;-503.22333;0.3;-150.9669982910156
362;-557.5446;0.3;-167.2633850097656
363;-610.38776;0.3;-183.11632690429687
364;-584.2191;0.3;-175.26573486328124
365;-602.84924;0.3;-180.85477294921876
366;-587.1179;0.3;-176.1353759765625
