DayOfYear;depth_0.5;depth_1.5;depth_2.5;depth_4.0;depth_6.25;depth_8.75;depth_12.5;depth_17.5;depth_25.0;depth_35.0;depth_45.0;depth_55.0;depth_65.0;depth_75.0;depth_85.0;depth_95.0;depth_107.5
68;332.3351480903627;332.3351480903627;332.3351480903627;329.4956628571475;322.4641618955366;312.75766513529703;292.39486070285665;262.8032846564778;251.19526091802828;242.43977383298852;237.25175787321405;233.47814919654212;232.14112822970603;230.94921211061913;230.94921211061913;232.0297451653886;232.0297451653886
69;331.6359619974863;331.6359619974863;331.6359619974863;328.9841120012186;321.81508753799733;311.99852256305934;291.5978439354686;262.3059324789461;250.9701767121792;242.30031465364544;237.13895841422791;233.47721366959146;232.16657523310488;231.00288976693454;231.00288976693454;232.14078204309556;232.14078204309556
70;330.93677590461;330.93677590461;330.93677590461;328.4725611452899;321.1660131804579;311.2393799908215;290.80082716808073;261.8085803014144;250.74509250633028;242.1608554743024;237.02615895524167;233.47627814264072;232.19202223650365;231.05656742324985;231.05656742324985;232.25181892080272;232.25181892080272
71;330.23758981173364;330.23758981173364;330.23758981173364;327.96101028936096;320.51693882291875;310.4802374185837;290.00381040069277;261.3112281238827;250.5200083004812;242.0213962949592;236.91335949625548;233.47534261568998;232.21746923990247;231.11024507956526;231.11024507956526;232.36285579850983;232.36285579850983
72;329.5384037188573;329.5384037188573;329.5384037188573;327.44945943343214;319.86786446537934;309.72109484634586;289.20679363330464;260.81387594635095;250.29492409463217;241.8819371156161;236.8005600372693;233.47440708873918;232.24291624330124;231.16392273588062;231.16392273588062;232.47389267621682;232.47389267621682
73;328.83921762598095;328.83921762598095;328.83921762598095;326.9379085775034;319.21879010784;308.9619522741081;288.4097768659166;260.31652376881925;250.0698398887832;241.74247793627293;236.68776057828308;233.47347156178841;232.26836324670003;231.2176003921959;231.2176003921959;232.58492955392387;232.58492955392387
74;328.1400315331047;328.1400315331047;328.1400315331047;326.4263577215745;318.56971575030065;308.20280970187036;287.61276009852867;259.81917159128756;249.8447556829342;241.6030187569299;236.5749611192969;233.47253603483776;232.29381025009886;231.27127804851128;231.27127804851128;232.69596643163095;232.69596643163095
75;327.4408454402283;327.4408454402283;327.4408454402283;325.9148068656457;317.9206413927613;307.4436671296326;286.81574333114065;259.3218194137558;249.61967147708503;241.46355957758678;236.4621616603107;233.47160050788696;232.31925725349765;231.32495570482664;231.32495570482664;232.8070033093381;232.8070033093381
76;326.741659347352;326.741659347352;326.741659347352;325.4032560097168;317.27156703522184;306.6845245573948;286.0187265637526;258.82446723622417;249.39458727123602;241.32410039824362;236.34936220132442;233.4706649809362;232.34470425689645;231.37863336114196;231.37863336114196;232.91804018704514;232.91804018704514
77;326.04247325447574;326.04247325447574;326.04247325447574;324.891705153788;316.62249267768266;305.925381985157;285.2217097963646;258.3271150586924;249.16950306538703;241.18464121890054;236.23656274233835;233.46972945398548;232.37015126029527;231.43231101745735;231.43231101745735;233.02907706475224;233.02907706475224
78;325.34328716159933;325.34328716159933;325.34328716159933;324.3801542978592;315.9734183201432;305.1662394129192;284.42469302897666;257.8297628811607;248.94441885953802;241.04518203955743;236.12376328335213;233.46879392703468;232.39559826369404;231.4859886737727;231.4859886737727;233.1401139424593;233.1401139424593
79;324.64410106872305;324.64410106872305;324.64410106872305;323.86860344193036;315.3243439626039;304.4070968406814;283.6276762615886;257.3324107036291;248.719334653689;240.90572286021433;236.01096382436592;233.46785840008394;232.4210452670928;231.53966633008804;231.53966633008804;233.25115082016637;233.25115082016637
80;323.9449149758467;323.9449149758467;323.9449149758467;323.35705258600154;314.6752696050645;303.6479542684436;282.8306594942007;256.8350585260974;248.49425044784002;240.76626368087116;235.8981643653797;233.46692287313326;232.44649227049166;231.5933439864034;231.5933439864034;233.36218769787348;233.36218769787348
81;323.2457288829703;323.2457288829703;323.2457288829703;322.84550173007267;314.0261952475252;302.8888116962058;282.03364272681256;256.3377063485657;248.26916624199094;240.62680450152803;235.78536490639354;233.4659873461825;232.47193927389043;231.64702164271878;231.64702164271878;233.4732245755805;233.4732245755805
82;322.54654279009407;322.54654279009407;322.54654279009407;322.3339508741438;313.3771208899859;302.1296691239681;281.2366259594246;255.84035417103397;248.04408203614196;240.48734532218504;235.67256544740738;233.46505181923177;232.4973862772892;231.7006992990341;231.7006992990341;233.58426145328758;233.58426145328758
83;321.8473566972177;321.8473566972177;321.8473566972177;321.822400018215;312.72804653244657;301.37052655173034;280.4396091920366;255.34300199350218;247.81899783029291;240.34788614284182;235.5597659884211;233.46411629228103;232.52283328068805;231.7543769553495;231.7543769553495;233.6952983309946;233.6952983309946
84;321.1481706043414;321.1481706043414;321.1481706043414;321.31084916228616;312.0789721749072;300.6113839794925;279.64259242464857;254.8456498159705;247.59391362444384;240.20842696349874;235.44696652943495;233.46318076533018;232.5482802840869;231.80805461166483;231.80805461166483;233.8063352087017;233.8063352087017
85;320.44898451146514;320.44898451146514;320.44898451146514;320.7992983063573;311.4298978173679;299.8522414072547;278.8455756572606;254.34829763843882;247.36882941859483;240.06896778415557;235.33416707044879;233.46224523837952;232.5737272874857;231.86173226798022;231.86173226798022;233.91737208640882;233.91737208640882
86;319.72884863834247;319.72884863834247;319.72884863834247;320.2674154340074;310.75055894401106;299.0602696633193;277.9878975037339;253.80731724550017;247.14714537695738;239.92578477964946;235.22404606594216;233.46855636682602;232.61063494290084;231.90698981321128;231.90698981321128;234.0135313983105;234.0135313983105
87;319.10505766317897;319.10505766317897;319.10505766317897;319.7927080718614;310.11968741759307;298.32769383775116;277.18482751347267;253.26765521990853;246.90232051899332;239.78600177514338;235.12415975531306;233.4896470871092;232.66953851668342;231.97049633803417;231.97049633803417;234.13120091429388;234.13120091429388
88;318.4369712961952;318.4369712961952;318.4369712961952;319.2476312380352;309.5167596797932;297.6943136977602;276.53729889536766;252.8044183618864;246.73881757171347;239.72914784025758;235.059944320803;233.50958334438553;232.71218847716872;231.9911373960107;231.9911373960107;234.188020081759;234.188020081759
89;317.76888492921137;317.76888492921137;317.76888492921137;318.702554404209;308.91383194199335;297.0609335577693;275.8897702772627;252.3411815038643;246.5753146244336;239.6722939053718;234.99572888629282;233.5295196016618;232.75483843765412;232.01177845398723;232.01177845398723;234.244839249224;234.244839249224
90;317.0929281941524;317.0929281941524;317.0929281941524;318.11531458737795;308.2919049786014;296.47955480717184;275.3708710740971;252.02020070996275;246.44986630603174;239.6308007436348;234.96620786796794;233.53127951180525;232.7431501946529;231.97009402207843;231.97009402207843;234.27786155371714;234.27786155371714
91;316.33495467382266;316.33495467382266;316.33495467382266;317.42870593131033;307.6033926684022;295.83749311917126;274.81307214556506;251.68750052277153;246.29584669474;239.54179664812102;234.90489287589753;233.49207566170153;232.685823513421;231.89510478463856;231.89510478463856;234.28336813819305;234.28336813819305
92;315.56622258206426;315.56622258206426;315.56622258206426;316.6939144180997;306.86011607248867;295.13575333593235;274.188795121795;251.29226462129455;246.10075994059125;239.4606368383215;234.85878074096993;233.43526466874061;232.60421111790345;231.8150641186273;231.8150641186273;234.2707090083832;234.2707090083832
93;314.8245496472826;314.8245496472826;314.8245496472826;315.97736331186593;306.13681694750545;294.4578959170348;273.58439755538933;250.90707552214323;245.929532488768;239.40753691224288;234.82001468162377;233.36631152461695;232.50588535029286;231.69913566191835;231.69913566191835;234.2271187739222;234.2271187739222
94;314.09131484796484;314.09131484796484;314.09131484796484;315.29240113089526;305.4710766329068;293.8669913688957;273.0781145729616;250.52635274709758;245.6850387558824;239.29594991536243;234.7640323433511;233.28326346396963;232.38721931129905;231.56600821847326;231.56600821847326;234.1734314165159;234.1734314165159
95;313.3974907282589;313.3974907282589;313.3974907282589;314.6427399207984;304.82985185228864;293.28467517027127;272.5821908138351;250.18908045748884;245.49344987736578;239.24856291848198;234.76981505362207;233.24995132565238;232.31337268978098;231.44766524104762;231.44766524104762;234.08441978726503;234.08441978726503
96;312.63634476543433;312.63634476543433;312.63634476543433;313.8270649187596;304.01197149170525;292.5045358083257;271.88273607879484;249.6439056077002;245.05812305803119;238.97645944681872;234.58900878455825;233.1005020996627;232.1858048930173;231.34985010577213;231.34985010577213;233.9883715775313;233.9883715775313
97;311.84571916386443;311.84571916386443;311.84571916386443;312.97457021587326;303.15693769588034;291.6921401095485;271.1566449637903;249.07953195379457;244.6114799896194;238.70473299727428;234.4009273849796;232.9367427896968;232.0491159537347;231.2401531882413;231.2401531882413;233.87741842670047;233.87741842670047
98;310.9700935622945;310.9700935622945;310.9700935622945;312.02816440187587;302.2160216778331;290.80049996632687;270.3753849598968;248.49958274433348;244.13508136565207;238.3799398810632;234.1703815409566;232.7371168130643;231.86953368111892;231.11807404848824;231.11807404848824;233.75806083142518;233.75806083142518
